timestamp,video_time,emotion,attention
2025-08-12 18:12:08,2.00,happy,Low

2025-08-12 18:12:09,3.00,happy,Low
2025-08-12 18:12:10,4.00,neutral,Low
2025-08-12 18:12:11,5.01,neutral,Low
2025-08-12 18:12:12,6.05,surprise,Medium
2025-08-12 18:12:13,7.00,surprise,Low
2025-08-12 18:12:14,7.99,surprise,High
2025-08-12 18:12:15,8.99,neutral,Medium
2025-08-12 18:12:16,10.00,surprise,High
2025-08-12 18:12:17,11.00,surprise,High
2025-08-12 18:12:18,12.00,surprise,High
2025-08-12 18:12:19,13.00,surprise,High
2025-08-12 18:12:20,14.00,angry,Low
2025-08-12 18:12:21,15.03,surprise,Low
2025-08-12 18:12:22,16.00,neutral,Low
2025-08-12 18:12:23,17.01,neutral,Low
2025-08-12 18:12:24,18.00,surprise,Low
2025-08-12 18:12:25,19.00,surprise,Low
2025-08-12 18:12:26,20.00,Unknown,Low
2025-08-12 18:12:27,21.00,neutral,Low
2025-08-12 18:12:28,22.00,neutral,Low
2025-08-12 18:12:29,23.00,neutral,Low
2025-08-12 18:12:30,24.00,surprise,Low
2025-08-12 18:12:31,25.01,surprise,Low
2025-08-12 18:12:32,26.00,neutral,Low
2025-08-12 18:12:33,27.00,surprise,Low
2025-08-12 18:12:34,28.00,surprise,Medium
2025-08-12 18:12:35,29.00,surprise,High
2025-08-12 18:12:36,30.00,surprise,High
2025-08-12 18:12:37,31.00,surprise,Medium
2025-08-12 18:12:38,32.00,surprise,High
2025-08-12 18:12:39,33.00,surprise,High
2025-08-12 18:12:40,34.00,surprise,High
2025-08-12 18:12:41,35.00,surprise,High
2025-08-12 18:12:42,36.00,surprise,High
2025-08-12 18:12:43,37.00,surprise,High
2025-08-12 18:12:44,38.00,surprise,High
2025-08-12 18:12:45,39.00,surprise,High
2025-08-12 18:12:46,40.00,surprise,High
2025-08-12 18:12:47,41.00,surprise,High
2025-08-12 18:12:48,42.00,surprise,High
2025-08-12 18:12:49,43.00,surprise,High
2025-08-12 18:12:50,44.00,neutral,Medium
2025-08-12 18:12:51,45.00,surprise,Medium
2025-08-12 18:12:52,46.00,surprise,High
2025-08-12 18:12:53,46.99,surprise,High
2025-08-12 18:12:54,47.99,surprise,High
2025-08-12 18:12:55,49.00,surprise,High
2025-08-12 18:12:56,50.00,neutral,Low
2025-08-12 18:12:57,50.99,surprise,High
2025-08-12 18:12:58,52.00,neutral,Low
2025-08-12 18:12:59,53.00,neutral,Low
2025-08-12 18:13:00,54.00,neutral,Low
2025-08-12 18:13:01,54.99,neutral,Medium
2025-08-12 18:13:02,56.00,neutral,Medium
2025-08-12 18:13:03,57.00,neutral,Low
2025-08-12 18:13:04,58.00,surprise,Low
2025-08-12 18:13:05,59.00,neutral,Low
2025-08-12 18:13:06,60.01,surprise,Medium
2025-08-12 18:13:07,60.99,neutral,Low
2025-08-12 18:13:08,62.00,angry,Low
2025-08-12 18:13:09,63.01,neutral,Low
2025-08-12 18:13:10,64.00,angry,Low
2025-08-12 18:13:11,65.00,surprise,Medium
2025-08-12 18:13:12,66.00,angry,Low
2025-08-12 18:13:13,67.00,angry,Low
2025-08-12 18:13:14,68.00,angry,Medium
2025-08-12 18:13:15,69.01,surprise,Medium
2025-08-12 18:13:16,70.00,surprise,Medium
2025-08-12 18:13:17,71.00,neutral,Medium
2025-08-12 18:13:18,72.00,surprise,High
2025-08-12 18:13:19,73.00,surprise,High
2025-08-12 18:13:20,73.99,neutral,Medium
2025-08-12 18:13:21,75.01,angry,Medium
2025-08-12 18:13:22,76.00,surprise,Low
2025-08-12 18:13:23,77.00,surprise,Medium
2025-08-12 18:13:24,78.00,surprise,Medium
2025-08-12 18:13:25,79.00,neutral,Low
2025-08-12 18:13:26,80.00,angry,Low
2025-08-12 18:13:27,81.00,neutral,Low
2025-08-12 18:13:28,82.00,neutral,Low
2025-08-12 18:13:29,83.00,neutral,Low
2025-08-12 18:13:30,84.00,neutral,Medium
2025-08-12 18:13:31,85.01,neutral,Medium
